Table 3.15.5. Government Consumption Expenditures and Gross Investment by Function
Table 3.15.5. Government Consumption Expenditures and Gross Investment by Function
"Last Revised on: November 17, 2023"
Line,,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
51,"    Prisons",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.4,0.5,0.5,0.6,0.6,0.8,0.8,1.1,1.3,1.4,2.1,2.3,2.7,3.0,3.4,3.6,3.6,3.6,4.2,4.8,5.2,5.5,5.5,5.7,5.8,6.1,6.3,6.8,7.0,7.2,7.3,7.5,7.5,7.8,8.0,8.0,8.2,8.3,8.7,9.2,9.3,10.5
52,Economic affairs,7.9,6.9,7.1,9.4,11.0,13.5,14.9,15.4,15.7,17.1,18.2,18.8,20.7,22.2,22.8,24.7,28.7,30.7,34.3,39.9,43.2,49.8,57.2,57.3,62.1,60.6,66.7,69.9,67.7,62.7,71.5,78.9,82.1,89.3,90.8,91.3,92.2,93.8,95.9,90.8,96.1,101.1,101.3,111.9,117.2,120.2,122.4,128.7,136.0,142.4,150.3,169.8,158.6,159.0,154.8,155.9,163.7,166.6,169.9,180.6,184.6,211.3,225.6,196.3
53,"    Transportation",1.2,1.3,1.5,1.5,1.6,1.6,1.7,1.9,2.0,2.1,2.4,2.9,3.3,3.7,4.0,4.4,4.7,4.9,5.4,6.0,6.7,7.4,7.8,8.1,9.4,10.0,10.5,10.5,10.8,11.4,11.9,12.9,14.5,15.3,16.2,17.5,16.6,17.3,17.5,17.3,17.6,17.9,19.4,24.8,28.9,28.4,29.9,31.7,31.4,34.8,35.3,38.5,40.6,40.9,38.9,39.9,41.4,41.4,43.4,45.2,46.3,44.2,50.4,53.7
54,"        Highways",0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.4,0.5,0.5,0.5,0.6,0.5,0.5,0.6,0.6,0.6,0.6,0.5,0.5,0.6,0.7,0.7,1.6,1.8,1.4,1.3,1.5,1.5,1.4,1.5,1.6,1.7,1.8,1.9,2.2,2.3,2.5,2.4,2.4,2.8,2.9,3.0,2.6,2.5,2.4,2.7,2.5,2.2,2.6,2.5,3.9,3.0
55,"        Air",0.5,0.5,0.6,0.7,0.6,0.7,0.7,0.7,0.8,0.8,1.0,1.3,1.5,1.6,1.7,1.9,2.0,2.1,2.3,2.5,2.6,2.9,3.0,3.0,3.8,4.0,4.6,4.9,5.0,5.4,5.9,6.4,7.2,7.7,8.1,8.5,8.4,8.8,8.8,9.1,9.4,9.3,10.4,15.1,17.4,16.8,17.1,18.2,18.3,20.1,20.3,21.7,22.5,22.9,21.9,22.4,24.4,24.6,25.8,27.7,27.3,26.2,29.4,31.4
56,"        Water",0.6,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.9,1.0,1.0,1.1,1.2,1.4,1.5,1.7,1.9,1.9,2.2,2.5,2.9,3.3,3.5,3.9,4.5,4.8,4.8,4.5,4.7,5.0,5.1,5.6,6.2,6.3,6.1,6.3,6.2,6.3,6.3,6.1,6.6,6.8,7.1,7.4,9.2,9.2,10.1,10.8,10.1,11.9,12.2,13.5,14.5,14.3,13.8,14.3,14.0,13.4,14.4,14.7,15.9,15.0,16.6,18.9
57,"        Transit and railroad",0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.3,0.3,0.3,0.5,0.6,0.7,0.7,0.8,0.7,0.6,0.7,0.6,0.5,0.4,0.4,0.3,0.3,0.4,0.6,0.4,0.9,0.7,0.8,1.0,0.6,0.2,0.3,0.3,0.5,0.5,0.5,0.5,0.4,0.5,0.4,0.4,0.6,0.8,0.7,0.6,0.6,0.6,0.7,0.7,0.6,0.6,0.5,0.5,0.4
58,"    Space",0.4,0.9,1.5,2.7,5.2,7.1,8.6,9.3,8.1,7.7,7.1,7.0,7.0,6.9,6.7,7.3,7.8,7.9,8.1,8.2,8.8,10.1,11.1,11.7,12.7,13.1,13.9,13.8,15.0,16.8,19.6,22.4,23.8,24.1,24.3,23.6,23.9,24.7,25.0,23.8,23.6,24.1,24.7,24.8,25.5,26.5,26.8,26.7,28.6,30.3,30.9,30.9,29.4,29.4,29.0,30.2,31.1,31.8,32.2,34.0,35.1,36.7,37.7,40.1
59,"    Other economic affairs",6.3,4.6,4.2,5.1,4.3,4.8,4.7,4.3,5.6,7.3,8.7,8.9,10.4,11.7,12.1,13.1,16.2,17.9,20.8,25.7,27.7,32.3,38.3,37.5,40.1,37.5,42.3,45.6,42.0,34.5,39.9,43.7,43.8,49.9,50.2,50.1,51.8,51.8,53.4,49.7,54.8,59.1,57.2,62.4,62.8,65.3,65.7,70.3,76.0,77.3,84.1,100.4,88.5,88.6,86.9,85.7,91.2,93.4,94.3,101.4,103.2,130.5,137.5,102.5
60,"        General economic and labor affairs",0.4,0.6,0.6,0.7,0.8,1.0,1.0,1.3,1.7,1.9,1.9,2.0,2.6,3.0,3.2,2.3,2.3,2.8,3.4,4.0,4.5,5.7,5.4,5.1,4.8,5.1,6.0,6.0,6.3,6.7,8.3,11.5,8.0,9.3,9.8,9.7,10.6,11.4,11.6,9.3,10.8,13.9,10.6,12.2,12.7,13.9,14.3,14.3,16.5,18.2,22.1,25.1,22.3,22.0,21.9,22.4,23.2,24.5,26.9,32.0,33.4,54.6,61.7,41.0
61,"        Agriculture",3.7,1.7,1.0,1.7,1.0,1.1,0.8,-0.2,0.2,1.7,2.6,1.8,2.0,1.9,1.9,2.1,3.0,3.0,3.2,3.9,4.1,6.1,6.2,8.5,10.2,6.7,10.7,15.3,9.9,2.5,6.6,5.9,7.8,9.0,8.0,7.5,7.0,7.0,8.6,6.6,7.9,8.1,9.2,10.0,9.3,9.1,8.9,11.3,9.9,10.1,9.3,13.0,10.3,10.2,9.8,9.8,10.9,10.3,11.0,11.7,11.5,12.3,12.9,15.0
62,"        Energy",0.9,1.0,1.1,1.3,1.1,1.3,1.2,1.3,1.7,2.1,2.4,2.8,3.0,3.4,3.6,4.8,6.3,7.3,9.1,12.0,12.3,13.0,18.2,15.2,15.4,15.7,15.1,14.0,14.4,14.0,13.9,14.3,14.6,17.6,19.4,18.4,20.0,17.6,17.1,15.7,17.3,16.6,16.6,19.2,21.2,21.2,19.1,20.4,21.4,23.3,25.8,31.0,25.7,26.8,26.5,26.2,28.5,28.1,26.6,28.1,27.4,30.9,28.5,10.5
63,"        Natural resources",1.2,1.0,1.2,1.2,1.1,1.1,1.3,1.5,1.7,1.3,1.5,2.0,2.4,2.8,2.8,3.2,3.9,4.0,4.4,5.1,6.1,6.7,7.6,7.7,8.5,8.4,9.0,8.7,8.9,9.2,9.2,9.5,10.5,11.0,10.5,12.0,11.5,12.5,12.1,13.8,13.9,16.0,16.8,19.2,18.2,19.2,20.8,21.6,25.7,23.7,25.1,29.8,29.1,28.3,26.5,26.4,27.3,29.1,28.4,28.0,29.2,30.5,32.3,33.2
64,"        Postal service",0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.6,0.6,0.6,0.6,0.8,0.6,0.7,0.7,0.8,1.0,1.0,1.1,1.5,1.5,1.5,2.4,2.0,2.0,2.5,3.0,3.1,2.5,2.5,2.7,3.3,3.9,4.3,5.0,4.6,4.1,1.7,1.4,1.9,2.5,2.7,2.6,2.0,1.8,1.5,1.1,1.2,2.2,0.9,1.3,1.5,1.5,1.6,1.8,2.2,2.1,2.8
65,Housing and community services,0.0,0.1,0.2,0.2,0.3,0.2,0.2,0.3,0.4,0.2,0.2,0.4,0.7,0.7,0.8,0.7,0.6,0.6,0.6,0.5,0.4,0.6,0.7,0.6,0.7,0.7,0.7,1.0,0.8,0.7,0.8,0.8,0.7,0.7,1.9,0.9,0.7,0.7,0.9,1.5,1.6,-0.1,0.8,1.1,1.3,0.8,1.5,1.2,1.6,1.8,1.9,2.2,2.3,2.4,2.3,2.2,2.1,1.9,2.0,2.0,2.2,2.3,2.0,1.9
66,Health,1.6,1.7,1.8,2.0,2.1,2.3,2.2,2.7,3.1,3.8,4.2,5.0,5.5,7.0,8.3,9.2,10.8,11.6,12.4,14.1,15.0,17.5,19.0,19.8,22.4,25.0,26.6,27.9,29.7,32.3,34.8,37.4,40.8,43.2,46.4,49.3,51.6,53.4,55.9,59.6,61.8,68.2,74.3,81.2,90.6,93.9,97.9,101.6,107.8,118.4,130.6,138.9,145.6,149.0,149.8,155.9,162.4,168.2,165.9,176.4,189.1,216.0,255.3,280.8
67,Recreation and culture,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.6,0.8,0.9,1.0,1.1,1.2,1.2,1.2,1.3,1.3,1.1,1.2,1.3,1.3,1.3,1.4,1.5,1.5,1.8,2.0,2.2,2.3,2.4,2.5,2.9,3.1,2.8,3.3,3.4,3.8,4.0,4.1,4.3,4.3,4.3,4.6,5.0,5.8,5.4,5.3,5.2,5.2,5.0,5.3,5.6,5.8,6.0,6.1,6.1,6.2
68,Education,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.8,0.9,0.8,0.7,0.9,1.0,1.0,1.0,0.9,1.1,1.1,1.1,1.2,1.3,1.5,1.7,1.6,1.8,2.1,2.1,2.2,2.3,2.3,2.5,2.7,3.0,3.1,3.3,3.9,4.2,4.4,4.4,4.9,5.3,5.7,6.5,7.1,7.2,7.4,7.9,7.5,7.3,7.6,7.9,8.5,9.2,9.2,9.5,9.3,9.7,9.8,10.1,10.0,10.2,10.2,10.9,11.6
69,"    Elementary and secondary",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.6,0.6,0.4,0.5,0.5,0.5,0.5,0.4,0.6,0.7,0.6,0.6,0.9,1.3,1.4,1.6,1.5,1.3,1.2,1.4,1.3,1.6,1.3,1.4,1.2,1.4,1.5,1.5,1.5,1.4,1.6,1.9,1.6
70,"    Higher",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.7,0.9,1.0,1.0,2.5,2.7,2.9,3.1,3.2,3.6,4.0,4.2,3.9,3.7,4.0,4.2,4.7,5.0,5.4,5.6,5.6,5.8,5.8,6.0,5.9,5.9,5.9,6.2,6.8
71,"    Other",0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.6,0.6,0.5,0.5,0.6,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.7,0.7,0.8,1.1,1.1,1.2,1.4,1.4,1.5,1.5,1.6,1.7,1.8,2.0,2.2,2.3,2.7,2.8,3.0,3.0,1.7,1.9,2.2,2.9,3.0,2.2,2.0,2.1,2.1,2.3,2.4,2.3,2.5,2.6,2.6,2.6,2.5,2.5,2.5,2.6,2.7,2.9,2.8,2.8,3.2
72,Income security,0.4,0.4,0.6,0.8,0.8,0.7,0.9,1.1,1.2,0.9,1.0,1.1,1.2,1.6,1.6,2.6,2.5,2.9,3.7,3.7,4.0,4.7,4.4,4.4,4.2,4.6,4.5,4.0,4.2,4.1,4.5,4.8,5.3,6.8,6.4,6.9,7.0,6.9,7.3,9.1,8.9,9.6,9.9,12.2,13.4,13.7,18.1,25.5,18.3,17.6,18.8,21.0,18.6,18.6,19.7,20.6,19.4,21.2,24.6,30.0,26.5,25.6,30.6,32.5
73,"    Disability",0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.4,0.3,0.3,0.4,0.4,0.5,0.6,0.6,0.7,0.4,0.5,0.3,0.4,0.4,0.4,0.5,0.4,0.5,0.5,0.5,0.5,0.6,0.5,0.7,1.0,1.2,0.8,0.8,1.0,1.2,1.2,1.2,1.2,1.4,1.3,1.3,1.4,1.4,1.5,1.5,1.4,1.4,1.5,1.6,1.6,1.8
74,"    Retirement1",0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.7,0.7,0.8,0.8,0.8,0.9,1.0,1.0,1.0,1.0,1.2,1.0,1.1,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.1,1.1,1.0,1.1,0.9,1.0,1.6,0.9,1.5,1.0,1.2,1.6,1.4,1.6,1.9,2.1,2.0,2.5,2.4,1.9,2.0,2.1,2.4,2.2,2.2,2.4,2.3,2.4,2.4,2.1,2.3
75,"    Welfare and social services",0.2,0.1,0.2,0.4,0.4,0.2,0.5,0.6,0.6,0.3,0.3,0.3,0.4,0.5,0.5,1.1,1.1,1.5,1.8,1.9,2.1,2.4,2.2,2.1,1.9,2.0,2.0,1.9,2.0,2.0,2.3,2.7,2.8,3.1,3.3,3.1,3.3,3.2,3.4,4.2,4.8,4.7,4.5,6.2,6.9,7.1,8.3,8.5,7.9,8.2,9.2,12.0,9.7,9.7,10.1,10.7,10.0,10.4,10.8,11.1,11.7,9.0,9.6,10.1
76,"    Unemployment",0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,"    Other",---,---,---,---,---,---,---,---,---,0.0,0.1,0.2,0.1,0.1,0.3,0.4,0.4,0.4,0.6,0.5,0.6,0.9,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.7,0.7,0.9,1.9,1.6,2.3,2.0,2.2,2.2,2.7,2.7,2.8,3.4,3.5,4.2,4.4,7.2,13.9,7.2,6.2,5.9,5.3,5.6,5.6,6.1,6.1,5.6,7.1,10.0,15.1,10.9,12.6,17.2,18.2
78,"            State and local",44.9,47.6,51.9,54.8,59.3,64.5,70.9,78.9,87.0,97.6,107.8,119.8,133.0,144.5,158.6,182.5,207.4,219.4,234.0,257.4,284.2,314.7,340.4,363.1,384.2,416.1,457.6,494.4,528.7,567.4,617.8,676.2,716.0,756.0,784.8,827.6,872.7,913.7,963.8,1026.1,1109.2,1193.4,1279.8,1346.4,1383.8,1446.0,1527.5,1622.7,1739.5,1831.1,1855.6,1855.4,1848.2,1849.5,1905.2,1951.5,2010.6,2065.7,2131.1,2244.1,2367.7,2471.3,2598.7,2811.3
79,General public service,3.2,3.5,3.9,4.1,4.4,4.9,5.4,5.9,6.8,8.1,9.9,10.6,11.7,13.4,15.4,18.5,22.5,23.7,26.3,28.8,31.0,34.4,36.9,39.7,44.1,47.4,53.6,58.0,62.0,65.0,70.8,76.3,80.0,86.3,89.5,94.5,97.6,101.3,107.3,117.0,126.9,135.2,143.7,153.7,154.4,159.2,169.9,182.3,189.1,195.0,200.6,199.8,195.9,193.6,199.4,201.1,203.1,203.0,211.0,221.2,235.7,262.4,291.5,320.9
80,"    Executive and legislative",0.6,0.6,0.6,0.6,0.7,0.7,0.8,0.9,1.0,1.2,1.3,1.5,1.6,1.8,2.1,2.4,2.8,3.0,3.3,3.6,4.1,4.6,5.2,5.9,6.1,6.3,7.0,7.6,8.2,9.0,9.8,11.1,11.9,12.4,12.7,13.5,14.2,15.0,15.9,17.3,19.0,20.3,21.8,23.6,25.5,27.7,28.7,31.5,34.7,35.8,35.1,34.0,33.7,33.8,35.9,37.3,38.9,40.6,42.0,44.4,47.4,51.4,55.1,58.8
81,"    Tax collection and financial management",1.2,1.3,1.4,1.5,1.5,1.6,1.6,1.8,2.1,2.3,3.1,3.4,3.4,3.7,3.9,4.4,5.5,5.4,6.2,6.8,7.0,7.3,7.6,8.9,10.9,11.5,14.8,15.6,15.3,16.7,17.7,18.1,18.9,20.4,21.6,23.1,23.8,23.8,24.9,26.4,28.7,28.9,29.6,30.6,29.6,30.4,31.3,31.1,31.7,36.0,37.3,36.8,35.5,34.4,35.4,35.9,36.3,38.1,40.4,42.5,43.7,43.7,43.9,46.4
82,"    Other3",1.5,1.6,1.9,2.0,2.3,2.6,3.0,3.3,3.8,4.7,5.5,5.7,6.6,7.8,9.5,11.6,14.2,15.3,16.8,18.4,19.9,22.5,24.1,24.9,27.1,29.6,31.8,34.8,38.4,39.4,43.3,47.2,49.2,53.5,55.2,57.9,59.6,62.5,66.5,73.2,79.3,85.9,92.3,99.5,99.3,101.1,109.8,119.7,122.6,123.2,128.2,129.0,126.8,125.4,128.0,127.9,127.9,124.2,128.7,134.3,144.6,167.3,192.6,215.7
83,Public order and safety,4.3,4.6,5.0,5.2,5.5,5.9,6.4,7.0,7.7,9.0,10.0,11.4,13.1,14.6,16.2,18.4,21.0,22.7,24.9,27.6,30.6,34.1,38.7,43.6,47.4,51.5,57.4,62.8,68.2,74.7,84.1,93.8,101.6,109.9,116.3,125.1,133.9,141.8,150.3,160.0,173.5,185.8,199.9,211.0,215.3,226.4,237.8,252.0,271.0,287.0,289.1,291.4,291.2,290.3,299.1,309.2,319.9,327.3,336.0,355.7,374.0,387.1,403.1,427.9
84,"    Police",1.9,2.1,2.2,2.4,2.5,2.7,3.0,3.3,3.6,4.4,4.9,5.4,6.3,7.1,7.8,8.8,10.0,10.6,11.6,12.7,13.9,15.2,17.2,19.0,20.4,21.9,24.0,25.8,27.4,29.5,32.6,35.8,38.9,42.4,44.3,47.4,51.2,54.5,57.6,61.1,65.9,69.8,75.4,80.3,82.6,87.2,91.3,96.7,104.2,110.7,111.8,114.9,115.1,115.8,119.3,123.4,128.2,131.8,137.0,145.8,153.4,160.7,167.5,177.5
85,"    Fire",1.1,1.2,1.3,1.3,1.4,1.5,1.6,1.7,1.8,2.0,2.2,2.5,2.9,3.2,3.4,3.8,4.3,4.6,4.9,5.4,5.9,6.5,7.4,8.2,8.8,9.5,10.3,11.3,12.2,12.8,14.3,15.5,16.5,18.2,18.7,19.7,20.6,21.7,22.7,24.0,25.9,28.1,29.7,32.1,33.2,35.7,38.1,41.0,44.6,47.2,47.9,48.6,49.0,49.0,51.3,53.2,55.3,57.1,58.2,62.8,66.7,69.6,74.2,79.0
86,"    Law courts",0.6,0.6,0.7,0.7,0.7,0.8,0.9,1.0,1.1,1.3,1.4,1.6,1.9,2.1,2.4,2.7,3.1,3.3,3.6,4.1,4.7,5.4,6.1,6.8,7.3,7.8,8.6,9.2,9.9,11.4,13.0,14.6,15.9,17.2,19.4,20.7,22.1,23.4,25.0,27.0,29.5,31.8,34.6,36.6,37.1,38.7,40.6,42.2,44.4,46.9,47.7,47.7,47.2,46.6,47.2,48.4,50.0,51.2,52.2,54.9,57.4,58.1,60.1,63.3
87,"    Prisons",0.7,0.7,0.8,0.8,0.9,1.0,1.0,1.1,1.2,1.4,1.5,1.8,2.1,2.3,2.6,3.1,3.7,4.2,4.7,5.4,6.1,7.0,8.1,9.5,10.9,12.4,14.5,16.4,18.6,21.0,24.3,27.9,30.3,32.1,33.9,37.2,40.1,42.2,45.0,47.9,52.1,56.1,60.1,62.0,62.4,64.8,67.8,72.2,77.8,82.1,81.6,80.2,79.9,78.9,81.3,84.2,86.4,87.2,88.5,92.2,96.5,98.6,101.3,108.1
88,Economic affairs,13.1,13.2,14.3,15.0,16.6,17.3,18.8,20.5,22.1,23.8,25.1,27.2,29.0,30.4,32.4,38.3,42.0,42.8,44.5,50.4,57.3,64.0,69.4,72.4,75.4,81.1,88.7,94.4,98.3,103.0,107.0,116.2,120.5,124.8,130.5,137.3,141.7,146.4,154.1,162.5,176.2,190.8,206.0,217.0,222.0,229.5,242.5,260.2,281.1,294.9,301.5,298.6,300.8,306.1,309.6,317.6,327.8,333.2,344.1,364.9,387.3,394.3,408.9,442.6
89,"    Transportation",11.1,11.0,11.8,12.5,13.7,14.1,15.2,16.7,17.8,19.4,20.3,22.0,23.4,24.3,25.7,30.4,33.4,33.2,33.9,37.8,43.3,48.5,51.9,54.3,56.9,62.2,67.3,72.1,75.9,79.8,82.6,90.2,93.4,96.1,101.1,107.2,110.4,114.8,121.0,128.0,138.9,150.3,161.1,169.2,173.9,179.7,191.0,205.0,221.6,232.0,238.2,238.1,241.2,245.6,251.0,260.2,268.4,272.4,282.1,298.5,316.4,320.9,331.2,357.4
90,"        Highways",10.7,10.5,11.2,12.1,13.1,13.5,14.5,15.9,16.7,18.0,18.8,20.5,22.2,22.6,23.9,28.2,31.0,30.6,31.5,35.0,39.9,44.0,47.1,49.1,51.1,56.1,61.0,65.3,68.6,72.3,74.0,80.3,83.1,85.3,89.1,94.9,98.4,102.3,107.6,113.8,122.8,131.2,140.2,145.5,147.5,154.5,167.2,180.9,196.7,203.5,206.6,206.7,211.5,216.0,219.9,225.8,232.8,237.0,244.2,258.3,270.7,272.0,285.0,312.3
91,"        Air",0.2,0.2,0.3,0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.6,0.6,0.5,0.6,0.6,0.8,0.7,0.6,0.6,0.8,1.1,1.4,1.3,1.3,1.5,1.7,1.8,2.2,2.5,2.6,2.9,3.4,3.9,4.5,4.8,4.1,3.3,3.8,4.5,5.2,6.0,7.0,7.9,8.1,8.7,8.8,8.5,8.7,9.4,10.6,11.7,11.7,9.9,9.0,8.7,8.6,9.3,10.4,12.0,14.0,15.8,16.5,15.7,14.3
92,"        Water",0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.6,0.7,0.7,0.7,0.6,0.6,0.7,0.8,0.8,0.8,0.8,0.9,0.8,0.7,1.0,1.0,1.0,1.2,1.2,1.2,1.4,2.8,2.9,2.5,2.5,1.6,1.6,1.8,1.9,2.2,2.4,2.3,2.2,2.2,2.5,2.9,2.7,2.5,2.5,2.7,2.8,2.5,2.3,2.3
93,"        Transit and railroad",0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.4,0.5,0.6,0.7,0.6,0.5,0.9,1.0,1.2,1.3,1.6,1.5,1.5,1.7,2.3,2.8,3.3,3.6,3.8,3.7,3.9,4.0,4.1,4.8,5.5,5.6,5.5,6.2,7.2,7.6,7.5,7.7,7.7,8.8,9.3,10.2,13.1,15.2,14.8,13.7,13.5,13.6,15.7,17.6,17.4,17.6,18.4,19.8,22.9,23.6,22.5,23.4,23.5,27.2,29.9,28.2,28.6
94,"    Other economic affairs",2.1,2.3,2.5,2.5,2.8,3.2,3.6,3.8,4.3,4.4,4.8,5.2,5.6,6.1,6.7,7.9,8.6,9.7,10.6,12.6,14.0,15.6,17.5,18.1,18.5,18.9,21.5,22.3,22.5,23.2,24.4,26.1,27.0,28.7,29.3,30.1,31.3,31.6,33.1,34.5,37.3,40.5,44.9,47.8,48.1,49.8,51.5,55.2,59.4,63.0,63.3,60.5,59.6,60.5,58.6,57.3,59.4,60.8,62.0,66.4,70.9,73.5,77.7,85.1
95,"        General economic and labor affairs",0.6,0.7,0.8,0.8,0.9,0.9,1.1,1.2,1.3,1.3,1.5,1.7,2.0,2.4,2.6,2.9,3.3,3.6,4.0,4.4,4.9,5.4,5.8,6.1,6.0,6.2,6.6,7.2,8.0,8.3,9.2,10.0,10.5,11.5,11.8,12.2,12.4,12.7,13.2,13.8,14.8,15.6,17.8,19.2,18.6,19.0,20.0,20.9,21.5,22.5,22.7,21.6,20.7,21.4,21.0,20.1,20.4,20.7,20.9,22.4,24.6,26.8,28.1,29.5
96,"        Agriculture",0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.6,0.7,0.6,0.7,0.7,0.8,0.8,0.9,1.0,1.2,1.3,1.4,1.5,1.7,1.9,2.1,2.3,2.5,2.6,2.9,3.0,3.1,3.3,3.5,3.8,3.9,4.0,4.1,4.1,4.2,4.3,4.5,4.8,5.5,6.0,6.2,6.2,6.2,6.1,6.1,6.1,6.2,6.4,6.3,6.3,6.4,6.3,6.3,6.5,6.2,6.2,7.0,7.7,8.2,8.2,8.6,9.2
97,"        Energy",0.5,0.6,0.7,0.5,0.6,0.8,0.9,0.7,0.9,1.0,1.0,1.1,1.2,1.3,1.4,1.8,1.7,2.2,2.7,4.0,4.3,4.6,5.7,5.4,5.3,4.9,6.2,5.8,4.7,4.6,4.1,4.2,4.2,4.5,4.6,4.1,4.0,3.5,4.0,4.0,4.3,4.9,6.1,6.9,7.5,7.4,7.5,8.4,9.7,11.7,12.6,11.9,11.3,11.7,11.7,11.0,10.8,10.9,11.5,12.3,12.8,12.5,13.3,15.5
98,"        Natural resources",0.5,0.6,0.7,0.7,0.8,0.9,1.1,1.2,1.3,1.4,1.5,1.5,1.5,1.6,1.7,2.0,2.2,2.3,2.3,2.6,3.0,3.5,3.8,4.2,4.6,5.0,5.5,5.9,6.3,6.7,7.3,7.7,8.1,8.4,8.7,9.6,10.3,10.7,11.1,11.5,12.3,13.5,14.3,14.9,15.4,16.7,17.2,19.0,21.2,21.4,20.8,20.1,20.5,20.3,19.0,19.1,21.6,22.8,22.4,23.9,25.2,25.7,27.5,30.8
99,"        Other",0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.1,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.7,0.8,1.0,0.9,0.7,0.8,0.8,0.6,0.6,0.5,0.2,0.2,0.2,0.1,0.2,0.2,0.1
100,Housing and community services,2.7,2.7,3.0,3.3,3.1,3.6,3.9,4.0,4.2,5.1,5.0,5.2,5.6,5.7,6.3,7.8,9.0,9.4,9.3,11.3,12.6,15.1,14.9,14.7,14.0,15.7,17.1,19.1,21.3,22.5,23.4,25.8,26.9,27.3,25.9,25.6,26.9,29.2,30.2,30.9,32.8,33.6,36.0,39.4,41.9,44.3,46.3,48.9,52.0,55.8,57.0,56.4,55.0,51.9,50.5,50.3,52.1,53.8,56.1,60.3,62.5,63.1,66.2,73.4
101,"    Water",0.7,0.7,0.8,0.7,1.0,1.0,1.3,1.1,1.4,1.6,1.4,1.2,1.1,1.2,1.2,1.6,2.1,2.1,1.9,2.5,2.8,3.6,3.4,3.6,3.2,3.8,4.5,5.4,6.1,6.0,6.3,7.1,7.4,6.8,6.3,6.7,6.9,7.8,8.4,9.2,10.1,10.3,11.0,11.9,12.8,13.6,14.0,15.2,16.2,17.5,18.0,17.2,16.6,16.5,17.0,17.2,17.8,18.4,19.0,20.0,20.6,20.6,20.8,23.3
